@dataValueAttribs												
precip	0	9999	mm									
@dataSetAttribs												
missingDataVal	-9999											
dataStart	01.01.1985 00:00											
dataEnd	31.12.2006 00:00											
tres	d											
@statAttribVal												
name	Chaurikhark	Sallery	Pakarnas	Chialsa	Aisealukhar	Okhaldunga	Manebhanjyang	Kuruleghat	Sirwa	station_9	station_10	station_14
15.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.180244729	1.159388304	0.059178852
16.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.016415093	0.102616772	0.124232009
17.04.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
18.04.1985 00:00	0	0	0	0	0	0	0	0	3.2	0.049268275	0.206177473	0.003919343
19.04.1985 00:00	0.4	1.5	0	3.5	0	0	0	0	5.5	0.433045655	0.12520583	0.467675894
20.04.1985 00:00	0	3	0	1.9	0	2.5	1	0	5	0.366207629	0.025018422	0.463549674
21.04.1985 00:00	0	1.5	2	0.9	0	1	3.6	0	0	0.684870541	0.028714279	0.778367341
22.04.1985 00:00	0	0	0	0	0	0	0	0	0	1.75E-06	1.38E-05	4.00E-04
23.04.1985 00:00	0	10	12	8.2	14	8	2.5	3.2	19.6	1.0394696	0.866978943	1.77073431
24.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.001138425	6.33E-05	0.099965513
25.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.036234546	0.210218057	0.898570657
26.04.1985 00:00	0	0	0	0	0	0	0.5	0	0	0.180667147	0.747554243	0.254111826
27.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.03867238	0.360503346	0.084404133
28.04.1985 00:00	3.1	0	0	0.3	12.4	11.7	11.5	2	0	3.814622879	0.915621459	2.937322617
29.04.1985 00:00	4	0.5	0	0.9	3.5	0.9	0	2	0	2.581727266	1.666915536	2.388921022
30.04.1985 00:00	2.3	3.5	3	1.2	5	5.4	0	1	0	1.591875076	0.912014484	1.540807128
01.05.1985 00:00	2.3	4	2	3.1	8	2.5	0	9.6	5.5	1.62721777	0.590147793	1.652821183
02.05.1985 00:00	4	0	0	0.3	0	0	0	0	0	2.469605446	0.97106272	2.307759047
03.05.1985 00:00	0	0	2.5	0	0	10.2	12	12	4.5	2.219287395	1.658304214	2.327735424
04.05.1985 00:00	0	0	0	0	9.1	0	0	0	0	0.076074012	0.463683575	0.011110999
05.05.1985 00:00	2.2	0	5	2.1	0	0.2	0	11	0	1.646020412	1.65726006	2.038883209
06.05.1985 00:00	0	0	0	0.6	0	0.7	0	0	0	0.137070388	0.57818222	1.689212561
07.05.1985 00:00	4.2	0	0	0	0	2.5	0	0	8	2.592244148	1.003870487	2.696571589
08.05.1985 00:00	4.9	0	0	0	0	0	0	0	0	2.964880943	1.166763544	2.758229256
09.05.1985 00:00	0	0	5	0	0	0	0	0	0	0.1094805	0.007136824	0.072495729
10.05.1985 00:00	0	0	5	5.3	0	16.6	17	40	2.9	2.985675812	0.114717476	1.903909087
11.05.1985 00:00	20.1	5	1.3	11.3	18	13.7	15.5	7.5	11.5	15.07709312	5.499024868	13.47672462
12.05.1985 00:00	3.1	2	0	0	19.4	2.4	0	2.3	9.5	1.935225129	0.768795013	3.807192802
13.05.1985 00:00	0	0	0	0	0	0	0	0.5	0	0.023402002	0.145131618	0.16900377
14.05.1985 00:00	0	0	0	0	0	0	0	0	1.2	0.065411501	0.218442142	0.357486516
15.05.1985 00:00	0	0	0	1	0	0.8	0	2.5	0	0.235036105	1.279583454	0.837998986
16.05.1985 00:00	0	0	0	0	0	0	0	0	0	0.160716146	1.019791126	0.179352775
17.05.1985 00:00	7.1	0	0	0.5	0	0	0	0	0	4.275511742	1.887554884	3.887900114
18.05.1985 00:00	7	1	4.1	3.3	37.8	0.2	0.2	4	1.5	4.265793324	1.626063824	4.097720146
19.05.1985 00:00	0	5	5	3.5	0	19.7	2.8	9.1	3.5	0.629435897	0.05095863	2.371289968
20.05.1985 00:00	12.5	2	0	1.3	0	4.6	1.5	4.2	19.4	7.637176037	3.852261305	7.055470467
21.05.1985 00:00	0	25	33	26.6	40	55.2	5	30.7	0	2.485218287	4.048514843	4.461834908
22.05.1985 00:00	0	13.5	10	18.3	1.5	1.4	6	14.1	15.5	1.7739712	0.180048034	2.78354454
23.05.1985 00:00	0	0	0	2.9	0	5.6	5.6	0	0	0.970111191	0.042092584	0.739744246
24.05.1985 00:00	0	0	0	0	0	0	0	0	0	0.002106405	2.90E-04	0.476486534
25.05.1985 00:00	0	0	0	3.5	6.4	0.3	0	0	4.5	0.147517532	0.022088274	0.252594769
26.05.1985 00:00	3.7	0	0	0	0	0	0	0	0	2.116758585	0.81134367	2.125478268
27.05.1985 00:00	7.9	0	0	0	90	5.8	0	0	0	4.493702412	1.797448874	5.95714283
28.05.1985 00:00	0.2	0	0	0	13.2	0	0	0	0	0.126215279	0.081038013	1.15569663
29.05.1985 00:00	1.5	0	0	0	0	0	0	0	0	0.833563685	0.323721856	0.823674798
30.05.1985 00:00	0	0	0	0	0	0	0	0	0	0.001943785	2.64E-04	0.435999423
31.05.1985 00:00	0	6.5	0	0	0	0.8	0	0	0	0.043085173	0.050880857	1.984807253
